DATE	ID	Description
19/12/2001	1839	"תוקן מיח ם אט ם גו"" ח ללא תשל ום הכסף 55 שח נתרם לגמ""ח"
24/12/2001	1839	לאחר ויכ וח ק ולני.    
14/02/2002	687	התוו כח ע ל מח יר תי קון ה שואב . 
14/02/2002	2063	לקוח בעי יתי     
26/03/2002	2679	לקוח בעי יתי שילם רק עב ור ר צוע ה ולא עבור התיקון.
26/03/2002	2684	לקוח ה בע ייתי ת יצא ה לא מרוצ ה ע קב בועת אויר בלוח פיק
14/04/2002	1971	התוו כח ע ל תי קון א חר לא חר ש נה ו-3-חודשים.
15/05/2002	2765	לקוח מאד מאד חשדן ולא מאמי ן. 
29/05/2002	2375	לקוח בעי יתי מעוני ין בה נחות גד ולות!
24/06/2002	2453	"מאד חשדנ ית,ב ררנית ,מצפה למח ירי ריצפה ומבקשת הנחה."
04/07/2002	2846	"אלקט רונא י,חו שב שי ודע ה כל,ל א מ רוצה חושב שהמחיר יקר"
04/08/2002	2363	"להשת דל ל הימנ ע מלה תעסק איתם ,זה ירות,חתימה,מהירות ומחיר"
11/08/2002	1042	זהיר ות ה שאיר מיקר וגל 4 חוד שים לאחר הרבה טלפונים!
25/08/2002	687	"התוו כח ע ל מח יר בד יקת מ קרו גל וקבל הנחה 25 ש""ח"
10/09/2002	2951	זהיר ות!! ! מא ד חשד נית פ לספנ ית וקנטרנית.
09/12/2002	2951	רצוי מאד לא לקבל ממנה תיקו נים !!!
12/12/2002	3090	לשים לב !!! בכל מקרה רוצה לה וריד מהמחיר
22/12/2002	3101	 לקו ח מא ד חשד ן ובר רן!  
05/01/2003	929	מצפה להנ חה     
09/01/2003	1199	לא ל קבל מכשי רים מ הבן ש לה ב שום פנים ואופן.
30/01/2003	3161	מצפה תמי ד למ חירים נמוכ ים  
07/02/2003	3192	"לקוח חשד ן,בי קש בכ ל מקר ה לע דכן אותו במחיר."
19/02/2003	106	לקוח מאד קשה רצוי להעל ות מ חיר התחלתי.
02/03/2003	3222	"להזה ר לק וח מ אד קש ה,תיק ן שו אב ולא נתן יותר מ100 ש""ח"
10/03/2003	3250	להזה ר לא משל ם עבו ר בדי קה ו רוצ ה אחריות לשנה.
12/03/2003	3252	"שאלה לעל ותו של גו ""ח וב יקשה לה שאיר את הישן,והנחה."
12/03/2003	3253	"ביקש ה לה שאיר גו""ח ישן להרא ות לבן וביקשה הנחה וקיבל"
04/04/2003	1123	"לקוח מאד חשד ן ושו אל הר בה ש אלו ת איפה החלק?,מה עשית?"
20/05/2003	3375	תמיד מתו וכח על המ חיר ר צוי להע לות מחיר התחלתי!
